placekey,location_name,brands,latitude,longitude,category_tags,opened_on,closed_on
2bm-223@8g7-475-td9,Ibiza Restaurant and Lounge,,33.816367,-84.389558,"Bar or Pub,Cocktail Lounge,Late Night,Tapas",,
zzw-226@8g7-47b-mhq,Pulse Bar,,33.761484,-84.385651,"Bar or Pub,Cocktail Lounge,Late Night",,
223-222@8gd-q7b-7bk,Britannia Pub,,32.016482,-80.987362,"Bar or Pub,Fine Dining,Late Night",,
222-222@8g6-x6q-2zf,Karma Bistro ATL,,33.76113,-84.198738,"Bar or Pub,Cocktail Lounge,Late Night",,2022-03
227-222@8g6-x6q-4d9,360 Sports Bar and Lounge,,33.763157,-84.195415,"Bar or Pub,Late Night,Sports Bar",,
223-222@8g6-sc7-j35,B J's Orioles Nest,,32.595954,-83.619581,Late Night,,
zzw-222@8g7-485-9s5,The Poncey Highland,,33.771817,-84.352716,"Bar or Pub,Brunch,Cocktail Lounge,Coffee Shop,Late Night",,2021-10
225-222@8gb-72n-8sq,Marlow's Tavern,Marlow's Tavern,34.034351,-84.569329,"American Food,Bar or Pub,Casual Dining,Dinner,Drinks,Lunch",,
22c-222@8g6-ty2-8vz,Late Nite,,32.834236,-83.625997,"Bar or Pub,Cocktail Lounge,Dance Club,Late Night",,
zzy-223@8gb-px9-575,Cumming Cigar,,34.206691,-84.137752,"Bar or Pub,Cigars,Late Night",,
222-224@8g6-ymt-bhq,Central Rail Kitchen & Bar,,33.843782,-84.307938,"BBQ and Southern Food,Bar or Pub,Cocktail Lounge,Late Night",,
zzw-223@8g6-y55-tjv,Cloud9 Hookah Lounge & Cafe,,33.990919,-84.275785,"Bar or Pub,Cafe,Hookah,Late Night",,2021-10
zzw-222@8g7-4cx-9vf,Club Babes Atlanta,,33.765487,-84.533153,"Adult Entertainment,Late Night",,
222-222@8g8-7pt-hyv,F & W Control Tower,,32.442585,-84.926309,Late Night,,
zzw-222@8g6-yks-t7q,Oasis Goodtime Emporium,,33.921485,-84.281573,"Adult Entertainment,Bar or Pub,Dance Club,Late Night",,2023-02
225-222@8g8-7q7-yjv,Club Fetish,,32.507452,-84.952408,"Bar or Pub,Late Night",,2022-08
zzy-222@8g6-xs4-rhq,Smokin Cues,,33.544943,-84.233687,"Bar or Pub,Late Night,Sports Bar",,
zzy-222@8g6-yjq-ysq,Moondog Growlers,,33.946926,-84.335912,"Bar or Pub,Late Night",,
zzw-222@8g7-4rw-j9z,Club Sugar Bush,,33.536466,-84.365535,"Dance Club,Late Night",,
223-223@8g7-4qd-4y9,Rodeo Sports Bar,,33.568464,-84.330868,"Bar or Pub,Late Night,Sports Bar",,
223-222@8g7-46w-zs5,Foxy Lady Lounge,,33.709398,-84.349862,Late Night,,
222-223@8g7-3z5-kj9,Neal's Place,,33.752248,-84.48566,"Bar or Pub,Late Night,Sports Bar",,2020-01
zzw-222@8g6-yqj-m8v,Dave & Buster's,Dave & Buster's,33.919759,-84.484939,"American Food,Casual Dining,Dinner,Drinks,Late Night,Lunch,Sports Bar",,
zzw-222@8g6-xpb-gp9,The Sports Zone,,33.622249,-84.235905,"Bar or Pub,Late Night,Sports Bar",,2020-01
24s-222@8g7-njh-zfz,Sister Louisa's Church,,33.957876,-83.379448,"Bar or Pub,Dive Bar,Late Night",,
226-222@8g6-x7b-vs5,Ponce Sports Lounge,,33.803953,-84.246871,"American Food,Bar or Pub,Burgers,Late Night,Sports Bar",,
zzy-222@8g7-49b-xyv,First Class Hookah,,33.656336,-84.333825,"Bar or Pub,Hookah,Late Night",,
zzw-222@8g6-qct-hnq,Twin City Country Club,,32.946616,-82.841713,"American Food,Bar or Pub,Country Club,Late Night",,
22b-223@8gd-q2n-kxq,The Bamboo Room Tiki Bar,,32.080165,-81.093325,"Bar or Pub,Cocktail Lounge,Late Night",,
227-222@8gj-g73-9fz,Disco Palace,,31.544364,-84.154693,Late Night,,2020-01
227-222@8g6-xrc-xt9,The Rack Sports Bar,,33.551626,-84.258658,"Bar or Pub,Late Night,Sports Bar",,
zzw-224@8g8-7tz-zj9,Outlaws Saloon,,32.537665,-84.955658,"Bar or Pub,Dancing,Late Night,Music Venue",,2020-01
223-222@8g6-y4x-2kz,Oak St Bottle Shop,,34.019509,-84.359135,"Bar or Pub,Late Night",,
zzw-227@8g6-ytb-nbk,O2 Bar Totowa,,33.966329,-84.133675,"Bar or Pub,Late Night",,2020-07
